MPN,Vendor_Price1,Vendor_Price2,Vendor_Price3
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: 71.49,"Arrow Electronics, Inc.: 58.99",Master Electronics: 67.77,Mouser: 71.49
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
MPN,Digi-Key: nan,Allied Electronics & Automation: nan,"Arrow Electronics, Inc.: nan",Master Electronics: nan,Mouser: nan,Newark: nan,PEI-Genesis: nan,RS Components: nan,TE Connectivity: nan,TTI: nan
