MPN,Quantity,Vendor_Price
THT-75-427-3,1,Digi-Key: 515.25
IP-R4302,1,Digi-Key: 151.24
USB2C5C2M,1,Digi-Key: 31.07
MS27467T17B35S,12,Digi-Key: 236.74
M85049/49-2-16W,12,Digi-Key: 12.283
