MPN,Quantity,Vendor_Price
THT-75-427-3,1,Allied Electronics & Automation: 387.99
IP-R4302,1,Allied Electronics & Automation: 129.99
USB2C5C2M,1,Allied Electronics & Automation: 31.38
MS27467T17B35S,12,Allied Electronics & Automation: 201.66
M85049/49-2-16W,12,Allied Electronics & Automation: 14.93
